Product Name,Brand,Category,SKU,EAN,Ingredients,Size/Packaging,Product Image URL,Product Page URL
A'Pieu - Glycolic Acid Cream - 50ml,A'PIEU,Bulk Moisturizer,APIEU-03,8809530056738,": Glycolic Acid (AHA) - exfoliates the skin surface, promotes cell renewal, and helps smooth fine lines and rough texture. Lactic Acid (AHA) - provides mild exfoliation while hydrating the skin, improving softness and glow. Niacinamide (Vitamin B3) - brightens the complexion, minimizes pores, and strengthens the skin barrier. Panthenol (Vitamin B5) - soothes irritation, hydrates, and supports barrier recovery. Allantoin - calms sensitive skin and prevents dryness or redness. Sodium Hyaluronate - provides deep hydration and maintains skin elasticity.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/06/Apieu-Glycolic-Acid-Cream-1000x1000.jpg-600x600.webp,https://qudobeauty.com/product/apieu-glycolic-acid-cream-50ml/
SKIN1004 - Madagasar Centella Quick Calming Pad 70 Pcs,SKIN1004,"Bulk Moisturizer , Cleanser Wholesale",SKIN-35,8809576261387,"Centella Asiatica Extract (≈49%)- calms redness, promotes healing, and strengthens the barrier, Panthenol- hydrates, soothes irritation and aids skin recovery, Sodium Hyaluronate- draws in and retains moisture for a plumper feel, Triple-layer large pads- deliver rich essence while fitting facial curves, EWG Green Grade minimal formula- gentle enough for sensitive or reactive skin.",70 pads,https://qudobeauty.com/wp-content/uploads/2025/04/SKIN1004-Madagascar-Centella-Quick-Calming-Pad-70-pads-Korean-Toner-for-Sensitive-Acne-Prone-Skin-PURESEOUL-UK-KBeauty-Shop.webp,https://qudobeauty.com/product/skin1004-madagasar-centella-quick-calming-pad-70-pcs/
Haruharu Wonder - Centella Phyto & 5 Peptide Concentrate Cream - 30ml,Haruharu Wonder,Bulk Moisturizer,HARU-8,8809532221790,": 5 Peptide Complex - supports collagen and elastin production to improve skin elasticity and reduce the look of fine lines. Centella Asiatica Phyto-Extracts - calm and strengthen the skin barrier while soothing irritation. Caffeine - helps energize the skin, reduce puffiness, and brighten dull tone. Squalane & Ceramide NP - deeply moisturize and reinforce the skin's barrier to lock in hydration. Hydrolyzed Soy & Pea Proteins - nourish the skin, improve texture, and support a smooth finish.",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Haruharu-Wonder-Centella-Phyto-and-5-Peptide-Concentrate-Cream-30ml.jpg,https://qudobeauty.com/product/haruharu-wonder-centella-phyto-5-peptide-concentrate-cream-30ml/
COSRX - Centella Blemish Cream - 30ml,COSRX,Bulk Moisturizer,COSRX-43,8809416470368,": Centella Asiatica Extract - a renowned calming botanical that helps soothe irritation, reduce visible redness, and promote skin repair. Zinc Oxide - helps control excess sebum, supports blemish-prone skin, and provides mild protective benefits. Tea Tree Leaf Oil - known for its purifying properties that assist in reducing blemishes and calming upset skin. Hydrating and barrier-supporting emollients - help maintain moisture and reinforce the skin barrier without clogging pores.",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/kremas-nuo-spuogu-centella-blemish-cream-800x800_0-600x600.webp,https://qudobeauty.com/product/cosrx-centella-blemish-cream-30ml/
Round Lab - Pine Calming Cica Trial Kit,ROUND LAB,"Bulk Moisturizer , Bulk Serums , Cleanser Wholesale , Travel Makeup Kit",ROUND-24,8809962540294,"pine leaf extract- calms irritation, purifies the skin, reduces redness, and helps maintain balance, centella asiatica (cica)- soothes, regenerates, strengthens the barrier, and supports healing, madecassoside- reduces inflammation, enhances repair, and improves skin resilience, panthenol- hydrates, softens, calms, and supports barrier recovery, hyaluronic acid- deeply hydrates, plumps the skin, and prevents moisture loss.",trial size kit,https://qudobeauty.com/wp-content/uploads/2025/08/PINE-CALMING-CICA-TRIAL-KIT-600x600.webp,https://qudobeauty.com/product/round-lab-pine-calming-cica-trial-kit/
